,author,title,description,url,urlToImage,publishedAt,content,full_text,source_name
0,Umar Shakir,Apple has a new ‘Viral’ playlist on Apple Music and Shazam,"Apple is launching a new global Viral Chart playlist in Apple Music that consists of tracks people are discovering through the company’s Shazam service. The playlist, which is updated daily, shows the top 50 songs people have heard playing out in the real wor…",https://www.theverge.com/news/663866/apple-music-viral-charts-global-playlist-shazam-top-50,https://platform.theverge.com/wp-content/uploads/sites/2/chorus/uploads/chorus_asset/file/23925979/acastro_STK046_03.jpg?quality=90&strip=all&crop=0%2C10.732984293194%2C100%2C78.534031413613&w=1200,2025-05-08T21:01:29Z,"Now Apple and Shazam users have a quick place to see what music people are discovering in the real world.
Now Apple and Shazam users have a quick place to see what music people are discovering in th… [+928 chars]","Apple is launching a new global Viral Chart playlist in Apple Music that consists of tracks people are discovering through the company’s Shazam service. The playlist, which is updated daily, shows the top 50 songs people have heard playing out in the real world and have logged through Shazam. You can see charts on Shazam’s website as well.The playlists use “Shazam’s data to offer a comprehensive view of today’s fastest-growing songs across the globe, David Emery, who works for Apple Music in the UK, says on Threads. Emery notes that charts reflect songs going viral on Shazam in “real time” and then ranks them based on “their weekly growth in Shazam volume.”As of writing, the top viral songs in the list include Shake It To The Max (FLY) [Remix] by Moliy, Nothing’s Gonna Stop Us Now by Starship, and Hot Together by The Pointer Sisters. On Shazam’s website, you can look at the rankings by country, if you’d like.",The Verge
1,Jay Peters,Spotify already has an app ready to test Apple’s new rules,"Spotify says it has submitted an update to its iOS app that would, among other things, let US customers use payment options that aren’t Apple’s, according to a blog post. The update submission follows Wednesday’s major Epic Games v. Apple ruling that forces A…",https://www.theverge.com/news/659891/spotify-ios-app-update-apple-payment-rules,https://platform.theverge.com/wp-content/uploads/sites/2/2025/01/KtzRDIOEJYs3A6mb9MaNfOeEAekXQwD5Omr7BQZWkzg.jpg?quality=90&strip=all&crop=0%2C10.732984293194%2C100%2C78.534031413613&w=1200,2025-05-01T22:04:15Z,"The streaming company has already submitted an update to its iOS app following the major ruling in Epic Games v. Apple.
The streaming company has already submitted an update to its iOS app following… [+1999 chars]","Spotify says it has submitted an update to its iOS app that would, among other things, let US customers use payment options that aren’t Apple’s, according to a blog post. The update submission follows Wednesday’s major Epic Games v. Apple ruling that forces Apple not to take a cut of payments on non-Apple payment systems and stops Apple from dictating how developers can tell users about outside payments.“While other governments around the world have taken steps against Apple’s harmful practices, this is, by far, the most consequential action to date – and it delivers the benefits that all consumers deserve around the world,” Spotify says.If Apple approves the update, Spotify says that US users:Can finally see how much something costs in our app, including pricing details on subscriptions and information about promotions that will save money; Can click a link to purchase the subscription of choice, upgrading from a Free account to one of our Premium plans;Can seamlessly click the link and easily change Premium subscriptions from Individual to a Student, Duo, or Family plan; Can use other payment options beyond just Apple’s payment system—we provide a wider range of options on our website; and Going forward, this opens the door to other seamless buying opportunities that will directly benefit creators (think easy-to-purchase audiobooks) “If all of this seems obvious and user-friendly, you’re right, and we agree – these are the kinds of improvements that any app should offer its users,” Spotify says. “The fact that we haven’t been able to deliver these basic services, which were permitted by the judge’s order four years ago, is absurd.”Now, we have to wait and see if Apple will approve the app update — which has been a bone of contention between Spotify and Apple in the past.Patreon announced earlier today that it plans to submit an update for its iOS app to Apple that will let creators accept payments outside of Apple’s payment system.",The Verge
2,David Nield,How to Use Apple Maps on the Web,Apple’s mapping platform is no longer exclusively for Apple devices. A pared-down version runs in your browser; here’s how to use it.,https://www.wired.com/story/how-to-use-apple-maps-on-the-web/,"https://media.wired.com/photos/681d1858c4e2ebb974e997a0/191:100/w_1280,c_limit/apple-maps-laptop-gear-%202212761261.jpg",2025-05-13T12:00:00Z,The boundaries ofApples walled garden arent as well defined as they used to be; Apple Maps is the latest app to break out. It has taken a whilethe app launched in 2012but you can now use Apple Maps o… [+2274 chars],"The boundaries of Apple’s walled garden aren’t as well defined as they used to be; Apple Maps is the latest app to break out. It has taken a while—the app launched in 2012—but you can now use Apple Maps on the web. You can load it up in a browser on Windows PCs, Macs, iPads, and even in an Android phone's mobile browser.Right now, the Apple Maps web app has a beta label attached to it, which means it's a work in progress. Expect more features and better performance over time. (You can't yet sign in with your Apple ID, for example.) You also need a compatible browser, and that means Safari, Chrome, Edge, or Firefox.Despite its beta status, there's already a lot you can do with Apple Maps on the web, including looking up places, getting directions to specific places, and accessing guides to popular cities and other destinations.Map BasicsApple Maps on the web can give you a wealth of information about places.Courtesy of David NieldWe don't yet have the ability to sign into Apple Maps on the web, so you'll be starting fresh every time you open it in your browser, and you will not see links to your past searches or your saved places, for example. Click the arrow icon (in the top right) to jump to your current location, based on what location your browser is reporting.The map icon just above the arrow lets you choose the map view: Standard, Satellite, or a Hybrid combination of the two. There's also a compass icon just below. Click and drag on the compass to change the orientation of the map, or click once to go back to the default (where north is directly up). In the lower right corner you've got zoom controls, and you can also zoom in and out by pinching your touchscreen or trackpad or by using the scroll wheel on your mouse.There's a navigation pane on the left you can show and hide using the icon in the very top left corner, and this gets you access to the key three parts of Apple Maps on the web: Search, Guides, and Directions. Search is simple enough: Just type in what you're looking for. You'll also see quick links to find restaurants, bars, gas stations, and other destinations in the map area you're currently looking at.With some of the larger and more well known cities in the world, an information panel pops up with more details about the place. This might include photos of landmarks as well as historical information pulled from Wikipedia. Major roads and sights worth seeing will be labeled on the map with these city overviews.",Wired
3,Kate Knibbs,Trump’s Tariffs Are Threatening America’s Apple Juice Supply Chain,"Most of the apple juice Americans drink is imported, with a large share coming from China. Experts say families should expect to start paying higher prices for the beloved beverage.",https://www.wired.com/story/apple-juice-shortage-tariffs/,"https://media.wired.com/photos/6812934a8f16f415836a2072/191:100/w_1280,c_limit/Apple-Juice-Shortage-Business-2211147875.jpg",2025-05-06T11:00:00Z,"Few foods are more American than apple pie, but the truth is, some of the countrys favorite apple products arent actually made in the United States. Apple juice, a perennial lunchroom staple, is a pr… [+2760 chars]","Few foods are more American than apple pie, but the truth is, some of the country’s favorite apple products aren’t actually made in the United States. Apple juice, a perennial lunchroom staple, is a prime example. The vast majority of the apple juice Americans drink is imported from countries like China, and the Trump’s administration’s berserk tariff policies are now reshaping the market, potentially making beloved pome-based beverages more expensive or harder to find.“The price of juice is already increasing,” Christopher Gerlach, an executive at the US Apple Association, a trade group representing the domestic apple industry, tells WIRED. Gerlach estimates the wholesale cost of apple juice concentrate has risen 33 percent this year compared to 2024—and he expects it to keep going up. The higher costs will impact more than just plain apple juice, since concentrate is a key ingredient in a wide variety of other juice mixes, like mixed berry and pear, and is also used as a sweetener in a variety of children’s products, including baby food.The Trump administration’s protectionist policies have upended the global trading system as a whole. But the biggest impact so far has been on Chinese imports, which now face a new 145 percent tariff. The measure has driven up consumer prices and disrupted the supply chains for products ranging from baby gear to Christmas decorations to sex toys. While produce represents a relatively small portion of China’s exports to the US overall, there are certain types of food and drink heavily sourced from the country, like garlic, seafood, and, yes, apple juice. While apples are not typically associated with China, farmers there began investing more in the crop in the 1980s as they looked for ways to diversify their incomes, according to the US Department of Agriculture (USDA).The US has plenty of domestic apple farms, but the industry focuses heavily on selling fresh fruits, which are typically more profitable. Each year, America exports around 16 million gallons of apple juice, but imports 430 million gallons, Gerlach says. For many years, China was the main place where the US sourced its apple juice, but Turkey has recently emerged as a close competitor. It represented 39 percent of US concentrated apple juice imports last year, while China accounted for 31 percent, according to Gerlach.Data from the USDA suggest that Trump’s tariffs have sparked a more dramatic shift in the US toward buying apple juice concentrate from Turkey. So far this year, Americans have imported around 92 million liters of unfrozen apple juice concentrate from China, compared to 29 million liters from Turkey. China saw a major spike in juice buying in January as importers raced to make purchases before the tariffs went into effect; now its sales have plummeted, while Turkey’s are soaring. For the week of April 25, Turkey exported more than twice as much apple juice concentrate to the US as did mainland China.",Wired
4,David Pierce,How Apple lost control of the App Store,"""Cook chose poorly"" is one of those phrases you'll someday read in a history book about the tech industry. That's just one of the memorable lines from Judge Yvonne Gonzalez Rogers' stinging rebuke of Apple this week, in which she ruled that Apple needed to ch…",https://www.theverge.com/the-vergecast/660098/apple-app-store-payment-rules-epic-meta-google-vergecast,https://platform.theverge.com/wp-content/uploads/sites/2/2025/05/VST_0501_Site.jpg?quality=90&strip=all&crop=0%2C10.732984293194%2C100%2C78.534031413613&w=1200,2025-05-02T12:42:08Z,"On The Vergecast: Monopoly Madness! Heres whats coming for Apple, Google, and Meta in court.
On The Vergecast: Monopoly Madness! Heres whats coming for Apple, Google, and Meta in court.
Cook chose … [+1922 chars]","“Cook chose poorly” is one of those phrases you’ll someday read in a history book about the tech industry. That’s just one of the memorable lines from Judge Yvonne Gonzalez Rogers’ stinging rebuke of Apple this week, in which she ruled that Apple needed to change the way it handled external payments, buttons, and links in apps. And it needed to do so now. Apple says it will appeal, but it has already changed the rules. The app economy might never be the same.On this episode of The Vergecast, we talk about what just happened and why it matters. After some very important party speaker updates, Nilay, David, and The Verge’s Jake Kastrenakes walk through Apple’s years of closed-door meetings about app commissions, and the ways in which Gonzalez Rogers found she’d been misled throughout the process. (Nilay also takes a victory lap on the whole “buttons and links” thing.) We talk about how developers are responding to the news, as well as what new things you might be able to buy in the App Store, which new apps might suddenly be possible, and whether Apple has any moves left in this case.After that, it’s time for… more monopoly talk! Meta and Google are both still in court fighting to keep their companies intact. We’re learning a lot about how important TikTok has become, how Meta sees the world in general, and why it feared what might happen if Google bought WhatsApp. Meanwhile, just down the hall in the DC District courthouse, Google CEO Sundar Pichai made an impassioned case that this trial could be the end of Google Search.Finally, in the lightning round, it’s time for another (relatively brief) edition of Brendan Carr is a Dummy, followed by the latest from Worldcoin, Meta’s AI app, and more. We need more orbs, y’all.If you want to know more about everything we discuss in this episode, here are some links to get you started, beginning with Apple:And in the Google and Meta trials:And in the lightning round:Update! I forgot the party speaker pictures. Here are some party speaker pictures. Thanks to everyone who sent them, keep ‘em coming.",The Verge
5,Dominic Preston,Apple approves Spotify app update with external payments,"Apple has approved an update to Spotify’s iPhone app that makes it the first major app to support direct links for US users to pay for plans on an external site, without restrictions. Apple has been forced to change its rules on external payments following an…",https://www.theverge.com/news/660084/spotify-app-iphone-apple-update-external-payment-links,https://platform.theverge.com/wp-content/uploads/sites/2/chorus/uploads/chorus_asset/file/25378905/STK088_SPOTIFY_CVIRGINIA_A.jpg?quality=90&strip=all&crop=0%2C10.732984293194%2C100%2C78.534031413613&w=1200,2025-05-02T12:11:20Z,"Following the update, Spotify can freely advertise prices to US users if they subscribe outside the app.
Following the update, Spotify can freely advertise prices to US users if they subscribe outsi… [+1054 chars]","Apple has approved an update to Spotify’s iPhone app that makes it the first major app to support direct links for US users to pay for plans on an external site, without restrictions. Apple has been forced to change its rules on external payments following an order in its ongoing case against Epic Games. The updated app, version 9.0.40, is rolling out now on the App Store.“In a victory for consumers, artists, creators, and authors, Apple has approved Spotify’s U.S. app update,” Spotify spokesperson Jeanne Moran told The Verge. “After nearly a decade, this will finally allow us to freely show clear pricing information and links to purchase, fostering transparency and choice for U.S. consumers. We can now give consumers lower prices, more control, and easier access to the Spotify experience.”Spotify submitted the update to Apple’s App Store yesterday, in what was seen as the first test of Apple’s new rules. The new version includes details on promotional pricing and subscription plans available directly from Spotify’s website, where its transactions won’t be subject to Apple’s 30 percent service charge on in-app payments. If you can’t see them yet, Moran told us that “it may take a beat” for the new options to appear on every phone, even if you have the latest version.Apple previously included strict restrictions on how developers were able to advertise and link to external payment options, forbidding the use of buttons or any mention of cheaper pricing outside the app, in addition to a 27 percent charge on external payments. Judge Yvonne Gonzalez Rogers put an end to that this week, ordering Apple to end all fees, design restrictions, and “scary” pop-up language for external payments.Spotify has long been one of the most vocal critics of Apple’s payment policies, and Moran had previously said that the “outrageous” external payment policy “flies in the face of the court’s efforts to enable greater competition and user choice.”Patreon has also announced that it intends to submit an update to enable external payments, while Epic is readying its own alternative payment processing system with lower fees than Apple’s.",The Verge
6,Emma Roth,Apple asks court to halt App Store rule changes while it appeals,"Apple asked a judge to halt an order forcing it to give up control over App Store payments while it appeals the decision. In a filing on Wednesday, Apple says the order contains “extraordinary intrusions” that could result in “grave irreparable harm” to the c…",https://www.theverge.com/news/663361/apple-halt-app-store-ruling-appeal,https://platform.theverge.com/wp-content/uploads/sites/2/2025/05/STK468_APPLE_ANTITRUST_CVIRGINIA_C.jpg?quality=90&strip=all&crop=0%2C10.732984293194%2C100%2C78.534031413613&w=1200,2025-05-08T14:49:37Z,"Apple says the orders requirements profoundly undercut the integrated iOS ecosystem.
Apple says the orders requirements profoundly undercut the integrated iOS ecosystem.
Apple asked a judge to halt… [+1281 chars]","Apple asked a judge to halt an order forcing it to give up control over App Store payments while it appeals the decision. In a filing on Wednesday, Apple says the order contains “extraordinary intrusions” that could result in “grave irreparable harm” to the company.Last week, California District Court Judge Yvonne Gonzalez Rogers found that Apple was in “willful violation” of a 2021 injunction issued as part of the Epic Games v. Apple case. As a result, the judge ordered Apple to stop collecting an up to 27 percent commission on purchases made outside the App Store, and said the company can no longer restrict how developers point users toward external purchases.Apple has since complied with the order, allowing apps like Kindle, Patreon, Spotify, and Delta’s emulator to link iPhone users to external purchases without an added fee or restrictions. However, Apple filed an appeal on Monday, and now it wants its control of the App Store back while it waits for a decision.“Depriving Apple of control over core features of the App Store is, standing alone, sufficient to warrant a stay,” Apple says in its motion to halt the order. “The new rules profoundly undercut the integrated iOS ecosystem that this Court sustained as lawful and that is the foundation of user trust and confidence in the App Store.”In a post on X, Epic Games said Apple’s motion to stay “is a last ditch effort to block competition and extract massive junk fees at the expense of consumers and developers.”Update, May 8th: Added a statement from Epic Games.",The Verge
7,Wes Davis,Epic asks judge to make Apple let Fortnite back on the US App Store,Epic is asking District Judge Yvonne Gonzalez Rogers to order Apple to review — and approve if compliant with Apple’s guidelines — Epic’s submission of Fortnite to the US App Store in a new court filing. The company argues in the document that Apple is once a…,https://www.theverge.com/news/669047/epic-fortnite-filing-apple-app-store-review-order,https://platform.theverge.com/wp-content/uploads/sites/2/2025/05/STK468_APPLE_ANTITRUST_CVIRGINIA_C.jpg?quality=90&strip=all&crop=0%2C10.732984293194%2C100%2C78.534031413613&w=1200,2025-05-17T15:07:05Z,"The company accuses Apple of being in contempt of last months court order.
The company accuses Apple of being in contempt of last months court order.
Epic is asking District Judge Yvonne Gonzalez R… [+2366 chars]","Epic is asking District Judge Yvonne Gonzalez Rogers to order Apple to review — and approve if compliant with Apple’s guidelines — Epic’s submission of Fortnite to the US App Store in a new court filing. The company argues in the document that Apple is once again in contempt of the judge’s April order restricting it from rejecting apps over their use of outside payment links.In a letter from Apple that Epic shared late Friday, Apple writes that it won’t “take action on the Fortnite app submission until after the Ninth Circuit rules on our pending request for a partial stay of the new injunction.” Epic claims the delay is retaliation for its legal fight with the company, and notes in its filing that Apple “expressly and repeatedly” told it and the court that it would approve Fortnite if the app complied with Apple’s guidelines, which it insists its current submission does.Following Gonzalez Rogers’ decision in April, Epic said Fortnite would return to the US App Store. The company has since submitted the game twice, most recently to include content from an update to the EU version of the game. But instead of Apple approving Fortnite in the US, the game disappeared from the EU App Store.Epic claimed that was because it can’t release in the EU because of Apple’s decision to block its US submission. Apple said it had merely asked that it resubmit the app without including the US storefront, “so as not to impact Fortnite in other geographies.” But in a post announcing its new filing, Epic claims that would mean it has to submit multiple versions of the app, which it says is against Apple’s guidelines.Epic is asking that the court enforce its injunction, find Apple in contempt again, and require the company to “accept any compliant Epic app, including Fortnite, for distribution on the U.S. storefront of the App Store.”The hitch here is that throughout this case, Judge Gonzalez Rogers hasn’t gone so far as to require Fortnite’s return to the store, finding in her 2021 ruling that Epic had still knowingly broken its developer agreement with apple. 9to5Mac writes that the judge would likely need to agree that Apple is once again in contempt of court, as she did in her April 30th ruling. The difference between now and then — and what could work in Epic’s favor — is just how annoyed she seemed with Apple in the text of that ruling.Apple did not immediately respond to The Verge’s request for comment.",The Verge
8,Jay Peters,Epic will use an EU account to bring Fortnite back to the US App Store,"Epic Games plans to use its Sweden developer account to submit Fortnite to Apple’s US iOS App Store, according to CEO Tim Sweeney. On Wednesday, following the major ruling in Epic Games v. Apple that blocked Apple from collecting fees on purchases outside of …",https://www.theverge.com/news/661237/epic-games-fortnite-apple-us-ios-app-store-eu-account,https://platform.theverge.com/wp-content/uploads/sites/2/2025/05/fortnite-star-wars-crocs-3839x2159-74daab4dacae.jpg?quality=90&strip=all&crop=0%2C3.4518841135003%2C100%2C93.096231772999&w=1200,2025-05-05T17:57:47Z,"Epic Games plans to use its Sweden developer account to submit Fortnite to Apple’s US iOS App Store, according to CEO Tim Sweeney.

On Wednesday, following the major ruling in Epic Games v. Apple tha… [+1375 chars]","Epic Games plans to use its Sweden developer account to submit Fortnite to Apple’s US iOS App Store, according to CEO Tim Sweeney.On Wednesday, following the major ruling in Epic Games v. Apple that blocked Apple from collecting fees on purchases outside of apps, Sweeney said that Fortnite would return to the US App Store “next week.” (Apple has appealed the ruling.) But Apple terminated Epic’s App Store developer account in 2020 after Epic introduced an in-app payment system into Fortnite that ultimately led to the whole legal battle, so it was unclear how Epic might bring the game back to the US App Store until Sweeney’s post.“We have conversed with Apple on the topic,” Sweeney said in an X post over the weekend. He noted that Epic created its Sweden account last year so it could launch the Epic Games Store and Fortnite in the EU. (That account was banned and reinstated in 2024 over another dispute.)Fortnite won’t be back on iOS on Monday or Tuesday, Sweeney said. “Beyond that, we’re working as hard as possible and aren’t certain what day it will be ready.” Epic Games spokesperson Natalie Munoz declined to comment.Fortnite’s latest season, which is Star Wars-themed, kicked off last week.Update, May 5th: Epic Games declined to comment.",The Verge
9,Wes Davis,"Apple may release a ‘mostly glass, curved iPhone’ in 2027","This morning, while summarizing an Apple “product blitz” he expects for 2027, Bloomberg’s Mark Gurman writes in his Power On newsletter that Apple is planning a “mostly glass, curved iPhone” with no display cutouts for that year, which happens to be the iPhon…",https://www.theverge.com/news/664776/apple-curved-glass-iphone-2027,https://platform.theverge.com/wp-content/uploads/sites/2/chorus/uploads/chorus_asset/file/25612700/DSC_3108_Enhanced_NR.jpg?quality=90&strip=all&crop=0%2C10.732984293194%2C100%2C78.534031413613&w=1200,2025-05-11T20:03:55Z,"The iPhone 16 Pro Max, pictured here, is already pretty glassy.


This morning, while summarizing an Apple “product blitz” he expects for 2027, Bloomberg’s Mark Gurman writes in his Power On newslet… [+2249 chars]","This morning, while summarizing an Apple “product blitz” he expects for 2027, Bloomberg’s Mark Gurman writes in his Power On newsletter that Apple is planning a “mostly glass, curved iPhone” with no display cutouts for that year, which happens to be the iPhone’s 20th anniversary.That follows a report last weekend from The Information, which said that “at least one 2027 iPhone model that will place the front-facing camera underneath the screen to enable a truly edge-to-edge display.” Late last year, a report from The Elec said Apple is working with its display partners to create a bezel-less iPhone, but not one that curves the display down the side of the phone — a trick companies like Samsung and Vivo have employed in the past.But the “mostly glass, curved” part of Gurman’s prediction is more interesting to me, because what the heck does that mean? After all, I’d describe the iPhone 15 Pro sitting on my desk right now as “mostly glass,” with the only exterior metal being around the camera lenses and in its titanium edge, which the front and back curve down to. Assuming he’s not describing a banana-shaped iPhone, the closest hints are probably in Apple patents revealed over the years, like one from 2019 that describes a phone encased in glass that “forms a continuous loop” around the device.Apart from a changing iPhone, Gurman describes what sounds like a big year for Apple. He reiterates past reports that the first foldable iPhone should be out by 2027, and that the company’s first smart glasses competitor to Meta Ray-Bans will be along that year. So will those rumored camera-equipped AirPods and Apple Watches, he says.Gurman also suggests that Apple’s home robot — a tabletop robot that features “an AI assistant with its own personality” — will come in 2027. On that “personality” mention, it’s hard not to think about the adorable robotic lamp Apple’s internal researchers have been tinkering with.Finally, Gurman writes that by 2027 Apple could finally ship an LLM-powered Siri and may have created new chips for its server-side AI processing. A December report from The Information covered such a development and suggested that the team handling Apple’s new AI chips is the same Israel-based silicon design group that was “instrumental in designing” the Apple silicon chips that let the company ditch Intel chips for its Macs in 2020.",The Verge
