source.name,author,title,description,content,url
Wired,Adrienne So,The Apple Watch Turns 10. Here's How Far It's Come,"When the Apple Watch launched, it was unclear if smartwatches would pan out. Ten years later, Apple has a $100-billion hit that reshaped the watch industry and ushered in a new age of fitness tracking.","Every year, Apple launches one standout health feature, from measuring VO2 Max on the Series 3 to the ECG sensor on the Series 4, all the way to sleep apnea notifications on the Series 10. If you zoo… [+2825 chars]",https://www.wired.com/story/apple-watch-turns-10/
Wired,Brenda Stolyar,"22 Best MacBook Accessories (2025), Tested and Reviewed","From charging adapters to external monitors, we’ve gathered the essential peripherals for your Apple laptop.","More Good Accessories
Apple 35W Dual USB-C Port Compact Power Adapter
Photograph: Apple
We've tested a lot of accessories. Here are a few more solid options if you're hunting for more.
Apple 35W … [+6818 chars]",https://www.wired.com/gallery/best-macbook-accessories/
Wired,Adrienne So,"Garmin Vivoactive 6 Review: Reliable, Real Intelligence","New subscription service notwithstanding, Garmin’s latest entry-level tracker is still reliable and attractive and works great.","Garmin, the maker of our favorite fitness trackers, has several series of entry-level hybrid trackers. Sorting through them can be confusing. The Venu series is the most expensive, the premium tracke… [+2295 chars]",https://www.wired.com/review/garmin-vivoactive-6/
Wired,Boone Ashworth,US Tariffs Could Make Smartphones Dumber,Donald Trump’s tariffs are likely to make tech manufacturers more risk averse—which could stymie innovation in favor of keeping costs down.,"Tariffs, another chaotic venture of the barely four-month-old Trump administration, are set to rollick every sector of the economy and nearly all the goods and services people use across the world. B… [+2761 chars]",https://www.wired.com/story/us-tariffs-could-make-smartphones-dumber/
Wired,"Lauren Goode, Paresh Dave","Google Is Once Again Deemed a Monopoly, This Time in Ad Tech",The future of Google's advertising business is at stake after a federal judge found the company illegally monopolized parts of it.,"A federal judge ruled today that Google is a monopolist in some parts of the online advertising market, marking the second case in a year where the company was found to have violated US antitrust law… [+4284 chars]",https://www.wired.com/story/judge-rules-google-ad-business-monopoly/
Wired,Reece Rogers,"How to Use Instagram Edits, Meta’s New CapCut Clone for Editing Videos","Instagram’s long-promised video-editing app is out now. Here’s how to use Edits to make Reels, and how the software differs from TikTok’s CapCut.","In January, Meta announced its stand-alone video editing app for making Reels, simply called Edits. After release delays, users anywhere in the world can now download the app and try it out.
The new… [+5164 chars]",https://www.wired.com/story/how-to-use-instagram-edits-capcut-clone/
Wired,Gabriel Nicholas,The Subjective Charms of Objective-C,The verbose programming language felt like a universal form of communication—until it didn't.,"Objective-Cs objects, meanwhile, were adorned with all caps prefixes that proudly identified their creator. Some bore household names, like the button to log into another service with yourTwitter acc… [+4160 chars]",https://www.wired.com/story/objective-c-programming-language-verbose/
Wired,Julian Chokkattu,"Verizon’s Price Lock, a New Rolex, and Withings’ Blood Pressure Tech—Your Gear News of the Week","Plus: Samsung debuts its Galaxy Tab S10 FE tablets, Ooni has bigger gas-powered pizza ovens, and Traeger solves a griddle riddle.",US carriers often shake up their mobile plans and offers to entice customers to switch and upgrade. Verizon's latest big idea? A three-year price lock. New and existing subscribers can lock in their … [+4418 chars],https://www.wired.com/story/verizons-price-lock-a-new-rolex-and-withings-blood-pressure-tech-your-gear-news-of-the-week/
The Verge,"Tom Warren, Jess Weatherbed",The EU isn’t happy with Apple’s tax on alternative app stores,"The European Commission has just issued its first Digital Markets Act (DMA) fines to Apple and Meta, and now it’s telling Apple that it’s not impressed with the company’s approach to alternative app stores. The DMA originally forced Apple to begrudgingly allo…","The European Commission has also closed its investigation into the iPhones browser choice screen.
The European Commission has also closed its investigation into the iPhones browser choice screen.
T… [+2572 chars]",https://www.theverge.com/news/636196/apple-eu-dma-probe-alternative-app-stores-tax
The Verge,Chris Welch,Apple stumbles with latest AirPods Max firmware,"Last week, Apple announced that lossless audio and ultra low latency would be coming to the AirPods Max with USB-C. It was a pleasant surprise for owners of Apple’s over-ear headphones, which have fallen behind the AirPods Pro in recent years when it comes to…","Lossless audio and ultra low latency are still MIA after the release of iOS 18.4.
Lossless audio and ultra low latency are still MIA after the release of iOS 18.4.
Last week, Apple announced that l… [+1786 chars]",https://www.theverge.com/news/642140/apple-airpods-max-lossless-audio-update-delay
